date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-02-14	3216.14	3219.4	3217.93	3205.29	1887980.88	1.09	0.03	3196.326	3174.059	3146.918	1969798.05	1558610.09	1536406.11
2017-02-13	3198.99	3219.41	3216.84	3198.99	2201915.0	20.14	0.63	3183.358	3166.521	3144.105	1848876.75	1495785.88	1531886.67
2017-02-10	3183.01	3205.05	3196.7	3182.8	2393489.25	13.52	0.42	3171.386	3158.514	3141.825	1662890.33	1408254.77	1507647.96
2017-02-09	3164.69	3186.84	3183.18	3162.57	1916403.25	16.2	0.51	3160.08	3151.158	3139.706	1368641.95	1291272.61	1479827.98
2017-02-08	3148.09	3167.45	3166.98	3132.03	1449201.88	13.89	0.44	3155.278	3142.97	3138.817	1213114.85	1223483.71	1471371.64
2017-02-07	3154.4	3159.54	3153.09	3140.04	1283374.38	-3.89	-0.12	3151.792	3137.573	3138.408	1147422.13	1210343.65	1482841.97
2017-02-06	3143.09	3158.84	3156.98	3135.39	1271982.88	16.81	0.54	3149.684	3133.141	3137.55	1142695.0	1218164.08	1489456.84
2017-02-03	3160.08	3162.68	3140.17	3136.01	922247.38	-19.0	-0.6	3145.642	3127.786	3134.882	1153619.2	1348851.79	1492491.26
2017-01-26	3149.22	3163.1	3159.17	3148.91	1138767.75	9.62	0.3	3142.236	3125.045	3132.679	1213903.28	1412901.26	1512690.54
2017-01-25	3137.65	3151.47	3149.55	3133.19	1120738.25	7.0	0.22	3130.662	3121.057	3129.832	1233852.58	1447913.73	1523615.69
2017-01-24	3134.59	3149.53	3142.55	3131.22	1259738.75	5.78	0.18	3123.354	3119.777	3128.088	1273265.18	1514202.13	1538343.25
2017-01-23	3125.42	3145.84	3136.77	3125.42	1326603.88	13.63	0.44	3116.598	3121.689	3127.089	1293633.15	1567987.46	1551642.25
2017-01-20	3095.82	3125.66	3123.14	3095.21	1223667.75	21.84	0.7	3109.93	3125.136	3125.758	1544084.37	1607041.15	1568400.44
2017-01-19	3104.97	3115.78	3101.3	3094.01	1238514.25	-11.71	-0.38	3107.854	3128.254	3126.579	1611899.25	1668383.34	1591119.55
2017-01-18	3104.77	3123.72	3113.01	3098.59	1317801.25	4.24	0.14	3111.452	3134.665	3128.385	1661974.87	1719259.56	1622547.14
2017-01-17	3087.03	3108.91	3108.77	3072.34	1361578.62	5.34	0.17	3116.2	3139.243	3127.879	1755139.07	1755340.29	1635370.46
2017-01-16	3104.49	3105.14	3103.43	3044.29	2578860.0	-9.33	-0.3	3126.78	3141.958	3128.345	1842341.77	1760749.61	1644376.39
2017-01-13	3116.08	3130.51	3112.76	3102.16	1562742.12	-6.53	-0.21	3140.342	3141.979	3129.322	1669997.92	1636130.74	1597927.74
2017-01-12	3133.6	3144.97	3119.29	3115.98	1488892.38	-17.46	-0.56	3148.654	3140.313	3129.568	1724867.42	1612479.81	1614785.94
2017-01-11	3156.69	3167.03	3136.75	3136.27	1783622.25	-24.92	-0.79	3157.878	3138.608	3130.63	1776544.25	1599317.66	1641020.77
2017-01-10	3167.57	3174.58	3161.67	3157.33	1797592.12	-9.57	-0.3	3162.286	3136.399	3131.545	1755541.5	1562484.38	1644421.91
2017-01-09	3148.53	3173.14	3171.24	3147.74	1717140.75	16.92	0.54	3157.136	3132.489	3131.109	1679157.45	1535297.04	1691896.53
2017-01-06	3163.78	3172.03	3154.32	3153.03	1837089.62	-11.09	-0.35	3143.616	3126.38	3134.192	1602263.55	1529759.74	1708051.46
2017-01-05	3157.91	3168.5	3165.41	3154.28	1747276.5	6.62	0.21	3131.972	3124.904	3137.244	1500092.2	1513855.77	1701552.07
2017-01-04	3133.79	3160.1	3158.79	3130.11	1678608.5	22.87	0.73	3119.338	3122.106	3140.086	1422091.08	1525834.73	1698724.67
2017-01-03	3105.31	3136.46	3135.92	3105.31	1415671.88	32.28	1.04	3110.512	3116.515	3142.129	1369427.25	1515400.64	1693580.59
2016-12-30	3097.35	3108.84	3103.64	3089.99	1332671.25	7.54	0.24	3107.842	3114.731	3145.568	1391436.63	1528003.16	1734302.19
2016-12-29	3095.84	3111.8	3096.1	3087.34	1326232.88	-6.14	-0.2	3109.144	3116.665	3152.578	1457255.93	1559724.74	1797452.23
2016-12-28	3113.77	3118.78	3102.24	3094.55	1357270.88	-12.42	-0.4	3117.836	3118.823	3161.439	1527619.33	1617092.08	1850020.53
2016-12-27	3117.39	3127.88	3114.66	3113.75	1415289.38	-7.91	-0.25	3124.874	3122.652	3168.828	1629578.38	1682723.88	1903945.01
2016-12-26	3095.58	3122.88	3122.57	3068.42	1525718.75	12.42	0.4	3122.518	3126.69	3177.241	1661374.02	1726359.44	1993598.68
2016-12-23	3134.93	3138.4	3110.15	3103.75	1661767.75	-29.41	-0.94	3121.62	3129.73	3184.963	1664569.7	1848496.01	2058088.36
2016-12-22	3132.16	3143.17	3139.56	3126.89	1678049.88	2.13	0.07	3124.186	3142.003	3192.552	1662193.55	1886343.19	2091960.78
2016-12-21	3107.24	3140.25	3137.43	3107.24	1867066.12	34.55	1.11	3119.81	3149.584	3197.661	1706564.82	1889248.37	2124220.54
2016-12-20	3115.9	3117.01	3102.88	3084.8	1574267.62	-15.2	-0.49	3120.43	3158.065	3202.847	1735869.37	1871614.61	2155847.04
2016-12-19	3120.7	3125.28	3118.08	3110.08	1541697.12	-4.9	-0.16	3130.862	3167.742	3210.12	1791344.85	1871760.54	2207949.43
2016-12-16	3111.51	3128.87	3122.98	3106.35	1649887.0	5.3	0.17	3137.84	3176.405	3215.123	2032422.33	1940601.23	2246191.0
2016-12-15	3125.76	3138.78	3117.68	3100.91	1899906.25	-22.85	-0.73	3159.82	3188.491	3218.618	2110492.83	2035179.73	2268609.98
2016-12-14	3149.38	3170.02	3140.53	3136.35	2013588.88	-14.51	-0.46	3179.358	3204.054	3223.156	2071931.93	2082948.98	2280717.79
2016-12-13	3138.99	3162.5	3155.04	3118.71	1851645.0	2.07	0.07	3195.7	3215.004	3226.382	2007359.85	2125166.14	2290921.84
2016-12-12	3233.67	3245.09	3152.97	3149.9	2747084.5	-79.91	-2.47	3204.622	3227.792	3228.98	1952176.23	2260837.91	2318782.77
2016-12-09	3209.34	3244.8	3232.88	3207.04	2040239.5	17.51	0.55	3214.97	3240.195	3231.85	1848780.13	2267680.71	2346232.71
2016-12-08	3225.55	3228.12	3215.37	3211.47	1707101.75	-6.87	-0.21	3217.162	3243.101	3230.008	1959866.63	2297578.36	2399648.02
2016-12-07	3198.47	3222.43	3222.24	3189.49	1690728.5	22.59	0.71	3228.75	3245.738	3227.803	2093966.03	2359192.71	2436389.23
2016-12-06	3202.03	3215.31	3199.65	3196.52	1575726.88	-5.06	-0.16	3234.308	3247.628	3223.11	2242972.43	2440079.46	2472410.28
2016-12-05	3203.78	3219.52	3204.71	3194.88	2230104.0	-39.13	-1.21	3250.962	3252.498	3220.522	2569499.6	2544138.33	2489047.42
2016-12-02	3270.12	3279.71	3243.84	3235.28	2595672.0	-29.47	-0.9	3265.42	3253.842	3216.953	2686581.3	2551780.78	2467251.47
2016-12-01	3257.03	3279.67	3273.31	3256.26	2377598.75	23.28	0.72	3269.04	3248.744	3211.027	2635290.1	2502040.23	2436309.47
2016-11-30	3272.14	3277.27	3250.03	3239.52	2435760.5	-32.89	-1.0	3262.726	3242.258	3203.809	2624419.4	2478486.6	2428922.66
2016-11-29	3269.23	3301.21	3282.92	3263.4	3208362.75	5.92	0.18	3260.948	3237.761	3196.444	2637186.5	2456677.55	2398495.66
2016-11-28	3270.05	3288.34	3277.0	3267.67	2815512.5	15.06	0.46	3254.034	3230.168	3188.42	2518777.05	2376727.63	2318193.54
2016-11-25	3241.24	3262.44	3261.94	3209.6	2339216.0	20.2	0.62	3242.264	3223.505	3179.594	2416980.25	2424784.7	2253171.3
2016-11-24	3237.43	3257.86	3241.74	3232.87	2323245.25	0.6	0.02	3228.448	3216.915	3171.711	2368790.35	2501717.67	2227097.56
2016-11-23	3247.94	3262.88	3241.14	3231.59	2499596.0	-7.21	-0.22	3221.79	3209.869	3165.241	2332553.8	2513585.75	2189939.69
2016-11-22	3220.98	3249.68	3248.35	3220.98	2616315.5	30.2	0.94	3214.574	3198.592	3159.0	2276168.6	2504741.1	2160791.53
2016-11-21	3188.5	3229.76	3218.15	3188.28	2306528.5	25.29	0.79	3206.302	3188.546	3153.179	2234678.2	2433956.53	2131666.2
2016-11-18	3207.19	3212.39	3192.86	3187.5	2098266.5	-15.59	-0.49	3204.746	3180.064	3148.684	2432589.15	2382722.16	2136600.95
2016-11-17	3198.5	3211.05	3208.45	3187.21	2142062.5	3.39	0.11	3205.382	3173.31	3143.588	2634645.0	2370578.71	2125381.66
2016-11-16	3208.5	3210.89	3205.06	3195.41	2217670.0	-1.93	-0.06	3197.948	3165.359	3137.389	2694617.7	2379358.71	2098624.22
2016-11-15	3209.95	3214.29	3206.99	3195.04	2408863.5	-3.38	-0.1	3182.61	3155.126	3131.371	2733313.6	2340313.78	2078975.79
2016-11-14	3187.71	3221.46	3210.37	3186.8	3296083.25	14.33	0.45	3170.79	3146.671	3125.216	2633234.85	2259659.46	2049553.84
2016-11-11	3169.4	3202.74	3196.04	3166.07	3108545.75	24.76	0.78	3155.382	3135.683	3116.756	2332855.18	2081557.9	1966616.31
2016-11-10	3148.54	3172.31	3171.28	3148.54	2441926.0	42.91	1.37	3141.238	3126.506	3110.144	2106512.43	1952477.45	1888875.87
2016-11-09	3146.08	3146.95	3128.37	3096.95	2411149.5	-19.52	-0.62	3132.77	3120.613	3104.648	2064099.73	1866293.64	1844157.94
2016-11-08	3140.94	3156.88	3147.89	3134.95	1908469.75	14.56	0.47	3127.642	3119.407	3101.154	1947313.95	1816841.95	1794847.25
2016-11-07	3124.89	3139.2	3133.33	3117.1	1794184.88	8.01	0.26	3122.552	3117.812	3097.022	1886084.08	1829375.88	1783060.51
2016-11-04	3126.35	3141.33	3125.32	3119.54	1976832.0	-3.62	-0.12	3115.984	3117.304	3092.763	1830260.62	1890479.74	1773376.82
2016-11-03	3096.77	3140.93	3128.94	3094.1	2229862.5	26.21	0.84	3111.774	3113.866	3086.732	1798442.47	1880184.61	1725202.0
2016-11-02	3115.73	3118.98	3102.73	3099.82	1827220.62	-19.71	-0.63	3108.456	3109.418	3080.209	1668487.55	1817889.72	1670315.84
2016-11-01	3101.66	3122.61	3122.44	3097.04	1602320.38	21.95	0.71	3111.172	3107.617	3074.465	1686369.95	1817637.8	1631267.66
2016-10-31	3097.19	3102.3	3100.49	3081.07	1515067.62	-3.78	-0.12	3113.072	3103.761	3068.252	1772667.67	1839448.22	1612002.36
2016-10-28	3111.7	3128.64	3104.27	3101.24	1817741.25	-8.08	-0.26	3118.624	3097.829	3062.249	1950698.85	1851674.72	1608414.12
2016-10-27	3112.6	3114.76	3112.35	3100.39	1580087.88	-3.96	-0.13	3115.958	3093.783	3058.731	1961926.75	1825274.3	1580322.55
2016-10-26	3129.84	3129.84	3116.31	3110.39	1916632.62	-15.63	-0.5	3110.38	3088.683	3055.229	1967291.9	1822022.24	1570972.93
2016-10-25	3127.97	3132.5	3131.94	3121.05	2033809.0	3.69	0.12	3104.062	3082.902	3050.707	1948905.65	1772852.55	1533001.91
2016-10-24	3092.05	3137.03	3128.25	3090.79	2405223.5	37.31	1.21	3094.45	3076.233	3045.26	1906228.77	1736745.15	1490773.51
2016-10-21	3081.39	3101.85	3090.94	3069.27	1873880.75	6.48	0.21	3077.034	3068.222	3040.15	1752650.6	1656273.9	1430124.85
2016-10-20	3084.91	3089.68	3084.46	3076.29	1606913.62	-0.26	-0.01	3071.608	3059.598	3035.745	1688621.85	1570219.39	1403137.51
2016-10-19	3085.75	3096.22	3084.72	3076.77	1824701.38	0.84	0.03	3066.986	3051.0	3032.698	1676752.57	1522741.95	1390485.62
2016-10-18	3037.4	3084.19	3083.88	3037.4	1820424.62	42.71	1.4	3061.742	3041.314	3029.561	1596799.45	1444897.51	1402256.59
2016-10-17	3064.69	3068.81	3041.17	3033.75	1637332.62	-22.64	-0.74	3058.016	3032.743	3029.309	1567261.52	1384556.5	1391581.82
2016-10-14	3056.99	3064.79	3063.81	3043.18	1553737.0	2.46	0.08	3059.41	3026.669	3032.048	1559897.2	1365153.53	1382657.08
2016-10-13	3057.97	3065.0	3061.35	3052.64	1547567.25	2.85	0.09	3047.588	3023.678	3033.454	1451816.92	1335370.8	1398448.61
2016-10-12	3057.32	3060.51	3058.5	3048.89	1424935.75	-6.75	-0.22	3035.014	3021.774	3034.922	1368731.32	1319923.63	1407524.51
2016-10-11	3051.62	3066.1	3065.25	3048.02	1672735.0	17.11	0.56	3020.886	3018.511	3035.602	1292995.57	1293151.26	1408759.38
2016-10-10	3020.46	3048.24	3048.14	3014.62	1600511.0	43.44	1.45	3007.47	3014.286	3035.707	1201851.47	1244801.87	1400346.09
2016-09-30	2994.25	3009.2	3004.7	2993.06	1013335.62	6.22	0.21	2993.928	3012.077	3036.466	1170409.85	1203975.8	1397916.09
