date	bi	dis	neg	pos	ssi	bi_change
2017-03-05	-0.32	0.84	169.0	123.0	-46.0	
2017-03-06	-0.32	0.84	532.0	385.0	-147.0	-0.1536
2017-03-07	-0.6	0.71	688.0	376.0	-312.0	-0.156
2017-03-08	-0.66	0.68	914.0	472.0	-442.0	0.033
2017-03-09	-0.86	0.59	1701.0	720.0	-981.0	0.6364
2017-03-10	-0.78	0.63	1112.0	511.0	-601.0	0.0936
2017-03-11	-0.67	0.67	217.0	110.0	-107.0	
2017-03-12	-0.4	0.8	180.0	120.0	-60.0	
2017-03-13	-0.58	0.72	1012.0	569.0	-443.0	-0.4408
2017-03-14	-0.58	0.72	743.0	415.0	-328.0	-0.0406
